id,resume_url,has_fnb_experience,has_retail_experience,relevant_experience_years,has_waiter_or_service_role,has_baker_or_cake_decorator_role,has_retail_supervisor_role,has_sales_assistant_role
1180,,-,-,-,-,-,-,-
6459,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/55eedd2e-f2f6-4cca-a48d-2f77e2fb2de4.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
12779,,-,-,-,-,-,-,-
27231,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/faa9ba634584c50165c34acc32bffbdfd8832539483b640287b884074399fae1.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
45851,,-,-,-,-,-,-,-
53849,,-,-,-,-,-,-,-
79350,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/369197f1-f4c4-4462-a9d6-69f80cc694cc.pdf,TRUE,TRUE,3,FALSE,FALSE,FALSE,TRUE
83137,,-,-,-,-,-,-,-
109138,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/6c16819df9a87a843f12dafb97d1ce995e68ae23e1116a97de3fc802cea4e8a8.pdf,TRUE,FALSE,2,FALSE,FALSE,FALSE,FALSE
111992,,-,-,-,-,-,-,-
113205,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/4f835a97-056a-41dd-b6da-f68da2bcd903.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
113348,,-,-,-,-,-,-,-
125549,,-,-,-,-,-,-,-
126140,,-,-,-,-,-,-,-
130406,,-,-,-,-,-,-,-
153119,,-,-,-,-,-,-,-
157023,,-,-,-,-,-,-,-
169545,,-,-,-,-,-,-,-
170508,,-,-,-,-,-,-,-
181787,,-,-,-,-,-,-,-
186479,,-,-,-,-,-,-,-
190551,,-,-,-,-,-,-,-
192050,,-,-,-,-,-,-,-
283145,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/b3684555-a26f-4b67-8d9c-d81cccc3b12e.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
544470,,-,-,-,-,-,-,-
686340,,-,-,-,-,-,-,-
695050,,-,-,-,-,-,-,-
702475,,-,-,-,-,-,-,-
823824,,-,-,-,-,-,-,-
831463,,-,-,-,-,-,-,-
